qnt,cAgresti_p,cAshbacher_p,cAuken_p,cBlankenship_p,cBrody_p,cBrown_p,cBukowsky_p,cCFH_p,cCalvinnme_p,cChachra_p,cChandler_p,cChell_p,cCholette_p,cComdet_p,cCorn_p,cCutey_p,cDavisson_p,cDent_p,cEngineer_p,cGoonan_p,cGrove_p,cHarp_p,cHayes_p,cJanson_p,cJohnson_p,cKoenig_p,cKolln_p,cLawyeraau_p,cLee_p,cLovitt_p,cMahlers2nd_p,cMark_p,cMcKee_p,cMerritt_p,cMessick_p,cMitchell_p,cMorrison_p,cNeal_p,cNigam_p,cPeterson_p,cPower_p,cRiley_p,cRobert_p,cShea_p,cSherwin_p,cTaylor_p,cVernon_p,cVision_p,cWalters_p,cWilson_p,cAgresti_p_normalized,cAshbacher_p_normalized,cAuken_p_normalized,cBlankenship_p_normalized,cBrody_p_normalized,cBrown_p_normalized,cBukowsky_p_normalized,cCFH_p_normalized,cCalvinnme_p_normalized,cChachra_p_normalized,cChandler_p_normalized,cChell_p_normalized,cCholette_p_normalized,cComdet_p_normalized,cCorn_p_normalized,cCutey_p_normalized,cDavisson_p_normalized,cDent_p_normalized,cEngineer_p_normalized,cGoonan_p_normalized,cGrove_p_normalized,cHarp_p_normalized,cHayes_p_normalized,cJanson_p_normalized,cJohnson_p_normalized,cKoenig_p_normalized,cKolln_p_normalized,cLawyeraau_p_normalized,cLee_p_normalized,cLovitt_p_normalized,cMahlers2nd_p_normalized,cMark_p_normalized,cMcKee_p_normalized,cMerritt_p_normalized,cMessick_p_normalized,cMitchell_p_normalized,cMorrison_p_normalized,cNeal_p_normalized,cNigam_p_normalized,cPeterson_p_normalized,cPower_p_normalized,cRiley_p_normalized,cRobert_p_normalized,cShea_p_normalized,cSherwin_p_normalized,cTaylor_p_normalized,cVernon_p_normalized,cVision_p_normalized,cWalters_p_normalized,cWilson_p_normalized,cAgresti_real,cAshbacher_real,cAuken_real,cBlankenship_real,cBrody_real,cBrown_real,cBukowsky_real,cCFH_real,cCalvinnme_real,cChachra_real,cChandler_real,cChell_real,cCholette_real,cComdet_real,cCorn_real,cCutey_real,cDavisson_real,cDent_real,cEngineer_real,cGoonan_real,cGrove_real,cHarp_real,cHayes_real,cJanson_real,cJohnson_real,cKoenig_real,cKolln_real,cLawyeraau_real,cLee_real,cLovitt_real,cMahlers2nd_real,cMark_real,cMcKee_real,cMerritt_real,cMessick_real,cMitchell_real,cMorrison_real,cNeal_real,cNigam_real,cPeterson_real,cPower_real,cRiley_real,cRobert_real,cShea_real,cSherwin_real,cTaylor_real,cVernon_real,cVision_real,cWalters_real,cWilson_real
MS,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
MS2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.08,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
SMM,0.86,0.0,0.02,1.0,1.0,1.0,0.92,1.0,1.0,0.94,1.0,0.34,1.0,0.88,0.85,1.0,0.53,0.0,1.0,0.99,0.88,0.0,0.62,1.0,1.0,0.05,0.96,1.0,0.99,0.96,0.98,1.0,1.0,0.91,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.72,1.0,0.97,1.0,1.0,0.08,1.0,0.97,0.0,0.02,0.0,0.0,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.01,0.03,0.02,0.02,0.03,0.01,0.0,0.03,0.03,0.02,0.0,0.02,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.0,0.03,0.0,0.0,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
DyS,0.97,0.64,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.87,1.0,0.96,1.0,1.0,0.95,0.95,1.0,1.0,0.94,0.87,0.82,0.97,1.0,0.97,0.99,1.0,1.0,1.0,0.94,0.81,0.88,0.99,0.76,1.0,1.0,0.83,0.67,1.0,1.0,0.82,1.0,1.0,1.0,1.0,0.82,0.98,0.99,0.71,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
DySyn,1.0,0.98,0.97,0.99,1.0,1.0,0.99,1.0,1.0,0.96,1.0,0.99,0.98,0.98,0.98,1.0,0.99,0.97,1.0,0.99,0.96,0.96,0.96,1.0,1.0,1.0,1.0,1.0,0.98,0.99,0.98,0.97,1.0,1.0,0.99,1.0,1.0,0.99,0.98,1.0,0.99,0.98,0.99,0.98,1.0,1.0,0.99,1.0,1.0,0.99,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
HDy,0.98,0.81,0.93,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.86,0.99,1.0,1.0,1.0,0.78,0.89,1.0,1.0,1.0,0.99,0.98,0.98,1.0,0.89,0.99,1.0,1.0,1.0,0.96,0.96,0.96,1.0,1.0,0.96,0.99,0.4,0.99,0.99,1.0,0.87,0.98,1.0,1.0,1.0,0.93,1.0,1.0,0.93,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
ACC_syn,0.97,0.98,0.96,0.99,1.0,1.0,0.97,0.99,1.0,0.97,0.99,0.97,0.99,0.98,0.98,1.0,0.99,0.97,1.0,0.99,0.97,0.96,0.96,1.0,1.0,1.0,1.0,1.0,0.98,0.98,0.99,0.97,0.99,0.99,0.98,1.0,1.0,0.98,0.96,1.0,0.99,0.97,0.98,0.99,1.0,1.0,0.99,1.0,1.0,0.97,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
PACC_syn,0.97,0.95,0.96,0.99,0.99,0.99,0.97,0.98,0.98,0.96,0.98,0.95,0.98,0.97,0.97,0.99,0.98,0.94,0.99,0.98,0.96,0.95,0.95,0.99,0.99,0.99,0.97,0.99,0.97,0.97,0.97,0.96,0.98,0.96,0.97,0.99,0.99,0.98,0.96,0.99,0.98,0.96,0.98,0.98,0.99,0.99,0.97,0.98,0.98,0.95,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
X_syn,0.84,0.72,0.72,0.91,0.88,0.85,0.74,0.81,0.78,0.89,0.88,0.77,0.81,0.9,0.72,0.93,0.81,0.68,0.92,0.88,0.82,0.72,0.72,0.86,0.8,0.92,0.78,0.84,0.86,0.78,0.78,0.82,0.76,0.77,0.89,0.86,0.75,0.78,0.83,0.78,0.85,0.83,0.85,0.81,0.86,0.87,0.75,0.78,0.88,0.7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
MAX_syn,0.84,0.72,0.72,0.91,0.88,0.85,0.74,0.81,0.78,0.89,0.88,0.77,0.81,0.9,0.72,0.93,0.81,0.68,0.92,0.88,0.82,0.72,0.72,0.86,0.8,0.92,0.78,0.84,0.86,0.78,0.78,0.82,0.76,0.77,0.89,0.86,0.75,0.78,0.83,0.78,0.85,0.83,0.85,0.81,0.86,0.87,0.75,0.78,0.88,0.7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
T50_syn,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.98,0.96,0.94,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.98,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
MS_syn,0.97,0.98,0.96,0.99,1.0,1.0,0.97,0.99,1.0,0.97,0.99,0.97,0.99,0.98,0.98,1.0,0.99,0.97,1.0,0.99,0.97,0.96,0.96,1.0,1.0,1.0,1.0,1.0,0.98,0.98,0.99,0.97,0.99,0.99,0.98,1.0,1.0,0.98,0.96,1.0,0.99,0.97,0.98,0.98,1.0,1.0,0.99,1.0,1.0,0.97,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
MS2_syn,0.97,0.98,0.96,0.99,0.99,1.0,0.97,0.99,1.0,0.97,0.99,0.97,0.99,0.98,0.98,0.99,0.99,0.97,1.0,0.99,0.97,0.96,0.96,1.0,1.0,1.0,1.0,1.0,0.98,0.98,0.99,0.97,0.99,0.99,0.98,1.0,1.0,0.98,0.96,1.0,0.99,0.97,0.98,0.98,1.0,1.0,0.99,1.0,1.0,0.97,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
SMM_syn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
HDy_syn,0.99,0.98,0.98,0.98,0.99,0.99,0.99,0.99,1.0,0.93,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.99,0.99,0.96,0.96,0.96,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.96,0.99,0.99,0.98,0.99,1.0,0.98,0.97,0.99,0.99,0.97,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
CC,0.97,1.0,0.96,0.98,1.0,1.0,0.96,0.96,0.99,0.99,0.99,0.98,0.99,0.98,0.98,1.0,0.99,0.96,1.0,0.95,0.99,0.97,0.98,0.98,1.0,0.99,1.0,1.0,0.98,0.98,1.0,0.96,0.98,0.98,0.97,1.0,1.0,0.99,1.0,0.98,0.93,0.96,0.98,0.98,0.99,1.0,0.99,1.0,0.98,0.96,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
PCC,0.97,0.98,0.96,0.97,0.98,0.99,0.96,0.96,0.98,0.98,0.98,0.96,0.98,0.97,0.97,1.0,0.98,0.95,0.99,0.94,0.98,0.96,0.97,0.96,0.98,0.98,0.99,0.98,0.98,0.97,0.99,0.97,0.97,0.96,0.97,0.98,0.99,0.98,0.99,0.98,0.93,0.94,0.97,0.97,0.99,0.99,0.97,0.98,0.98,0.94,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
ACC,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
PACC,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.08,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.01,0.04,0.01,0.03,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.02,0.01,0.04,0.01,0.03,0.0,0.01,0.0,0.0,0.01,0.0,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.03,0.22
